date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:21	13649/13649	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:51%20GMT	http://learnpythonthehardway.org/book/ex36.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex36.html	(from http://learnpythonthehardway.org/book/)
11:31:21	18464/18464	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:52%20GMT	http://learnpythonthehardway.org/book/ex37.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex37.html	(from http://learnpythonthehardway.org/book/)
11:31:21	26904/26904	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/ex38.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex38.html	(from http://learnpythonthehardway.org/book/)
11:31:22	63839/63839	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:57%20GMT	http://learnpythonthehardway.org/book/ex39.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex39.html	(from http://learnpythonthehardway.org/book/)
11:31:22	27094/27094	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:57%20GMT	http://learnpythonthehardway.org/book/ex40.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex40.html	(from http://learnpythonthehardway.org/book/)
11:31:22	29863/29863	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:51%20GMT	http://learnpythonthehardway.org/book/ex41.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex41.html	(from http://learnpythonthehardway.org/book/)
11:31:23	27101/27101	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:51%20GMT	http://learnpythonthehardway.org/book/ex42.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex42.html	(from http://learnpythonthehardway.org/book/)
11:31:23	67365/67365	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:53%20GMT	http://learnpythonthehardway.org/book/ex43.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex43.html	(from http://learnpythonthehardway.org/book/)
11:31:24	43465/43465	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/ex44.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex44.html	(from http://learnpythonthehardway.org/book/)
11:31:24	18196/18196	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/ex45.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex45.html	(from http://learnpythonthehardway.org/book/)
11:31:24	26383/26383	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/ex46.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex46.html	(from http://learnpythonthehardway.org/book/)
11:31:25	27014/27014	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:52%20GMT	http://learnpythonthehardway.org/book/ex47.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex47.html	(from http://learnpythonthehardway.org/book/)
